tag,text
EXAMPLE,Record companies are keen to sniff out new bands. 
HEADWORD,snipe at
DEFINITION,to criticize someone or make unkind comments about them
EXAMPLE,"She spends the whole time sniping at other team members, but never really contributes anything herself."
HEADWORD,snoop around
DEFINITION,to look around a place in order to try and find information about someone's private business
EXAMPLE,"If old Frank comes snooping around, just tell him to mind his own business. "
HEADWORD,snoop on
DEFINITION,to watch someone secretly so that you know everything they do
EXAMPLE,Some employers use special software to snoop on staff and the emails they send.
HEADWORD,be snowed in
DEFINITION,to be unable to leave a place because a lot of snow has fallen there
EXAMPLE,We were snowed in for three days.
HEADWORD,be snowed under
DEFINITION,to have too much work to deal with
EXAMPLE,I'm absolutely snowed under at the office.
HEADWORD,snuff out
DEFINITION,"to make something end quickly, especially by using force"
EXAMPLE,It's tragic to see such a young life snuffed out. 
HEADWORD,snuggle down
DEFINITION,"to put yourself into a warm, comfortable position by sliding your body down under the covers on a bed"
EXAMPLE,"She snuggled down under the quilt again, but sleep still eluded her."
HEADWORD,snuggle up
DEFINITION,to sit or lie with your body resting against someone else's because you want to feel warm and comfortable
EXAMPLE,Let's snuggle up by the fire. 
HEADWORD,sober up
DEFINITION,to become sober after being drunk
EXAMPLE,I had sobered up by then. 
HEADWORD,sock to
DEFINITION,to say or do something to someone in a very strong and direct way
EXAMPLE,The singer's sexy new look is designed to sock it to her critics.
HEADWORD,sod off
DEFINITION,to go away
EXAMPLE,"OK, I'll just sod off then. "
HEADWORD,soften up
DEFINITION,to make someone more likely to do what you want by being nice to them
EXAMPLE,His strategy was to soften them up with compliments. 
HEADWORD,soldier on
DEFINITION,to continue to do something even though it is difficult or unpleasant
EXAMPLE,We'll just have to soldier on till we finish the job.
HEADWORD,sop up
DEFINITION,to remove liquid from a surface using a cloth or soft paper that the liquid goes into
EXAMPLE,We put paper towels on the floor to sop up the worst of the mess. 
HEADWORD,sort out
DEFINITION,"to make arrangements for something to happen, or decide how it will happen"
EXAMPLE,Danny's organizing the food and the music's already sorted out. 
HEADWORD,sort through
DEFINITION,to look at a lot of things in order to find what you want or need
EXAMPLE,She sorted through the papers on her desk.
HEADWORD,sound off
DEFINITION,"to express your opinions loudly, especially in an unreasonable way"
EXAMPLE,He's just sounding off at the moment - he'll calm down soon. 
HEADWORD,sound out
DEFINITION,"to try to find out someone's opinions, ideas, feelings etc by talking to them"
EXAMPLE,Candidates will be sounding out voters during the months before the election. 
HEADWORD,soup up
DEFINITION,"to change something to make it faster, more powerful or more effective"
EXAMPLE,Young men souped their vehicles up and raced along the roads around Los Angeles. 
HEADWORD,space out
DEFINITION,"to arrange objects, events, activities etc so that they are not too close together, or so that they are a particular time or distance apart"
EXAMPLE,Space bean plants out three inches apart. 
HEADWORD,spark off
DEFINITION,"to make something happen, especially something involving violence or angry feelings"
EXAMPLE,The trial sparked off widespread rioting in London. 
HEADWORD,spatter with
DEFINITION,to cover a surface with a lot of small drops of a liquid
EXAMPLE,The walls were spattered with blood.
HEADWORD,speak for
DEFINITION,to represent the feelings or opinions of another person or group of people
EXAMPLE,I know I speak for us all when I say how sorry I am for this mistake. 
HEADWORD,speak of
DEFINITION,to seem to prove that something exists or something is true
EXAMPLE,Her extensive library spoke of her love of reading.
HEADWORD,speak out
DEFINITION,"to state your opinion firmly and publicly about something, especially in order to protest against or defend something"
EXAMPLE,Don't be afraid to speak out if you feel you are not being treated fairly. 
HEADWORD,speak to
DEFINITION,to tell someone that you do not approve of something they have done and they must change their behaviour
EXAMPLE,I'm going to have to speak to her if this goes on any longer. 
HEADWORD,speak up
DEFINITION,to talk louder
EXAMPLE,You have to speak up. The people in the back can't hear you. 
HEADWORD,speak up for
DEFINITION,to say something in support of someone or something
EXAMPLE,In the end there was no-one who was prepared to speak up for her.
HEADWORD,speed off
DEFINITION,"to leave a place very quickly, especially in a vehicle"
EXAMPLE,He jumped into the car and sped off.
HEADWORD,speed up
DEFINITION,to move faster or do something faster
EXAMPLE,You see drivers speeding up when they should be slowing down. 
HEADWORD,spell out
DEFINITION,to say or explain something very clearly because someone has not understood something
EXAMPLE,It's frustrating when you have to spell everything out for them. 
HEADWORD,spew out
DEFINITION,to flow out or make something flow out with a lot of force
EXAMPLE,Every car spews out black exhaust fumes. 
HEADWORD,spice up
DEFINITION,to make something more interesting or exciting
EXAMPLE,Spice up your life with an all-inclusive trip to Las Vegas! 
HEADWORD,spin off
DEFINITION,to create something new based on something else that already exists
EXAMPLE,A whole new series was spun off from the original movie. 
HEADWORD,spin out
DEFINITION,"to make something last for a long time, usually longer than is good or necessary"
EXAMPLE,I tried to spin things out until you arrived.
HEADWORD,spin round
DEFINITION,"to turn your head or body quickly to face the opposite direction, or turn someone quickly so that they face you"
EXAMPLE,He spun round in surprise. 
HEADWORD,spirit away
DEFINITION,to take someone or something away suddenly but without being noticed
EXAMPLE,Protesters were spirited away before they could cause a disruption.
HEADWORD,spit at
DEFINITION,"to force liquid out of your mouth in the direction of someone else, as an insult"
EXAMPLE,That kid just spat at me!
HEADWORD,spit out
DEFINITION,to force something out of your mouth
EXAMPLE,Babies are always spitting their food out. 
HEADWORD,splash around
DEFINITION,to move around noisily in water
EXAMPLE,I left the kids splashing around in the pool.
HEADWORD,splash out on
DEFINITION,"to spend a lot of money, especially on nice things for yourself"
EXAMPLE,I'd just like to be able to splash out and enjoy myself occasionally. 
HEADWORD,splash on
DEFINITION,to put a liquid on a surface in a careless way
EXAMPLE,I'll just splash on a bit of perfume and I'll be ready. 
HEADWORD,split off
DEFINITION,"to separate yourself from a larger group, organisation etc"
EXAMPLE,A group of senior managers split off and formed their own company. 
HEADWORD,split up
DEFINITION,to end a marriage or romantic relationship
EXAMPLE,Her parents split up a few months ago. 
HEADWORD,spoil for
DEFINITION,to want to fight or argue with someone
EXAMPLE,It seems that the music industry is spoiling for a fight.
HEADWORD,sponge down
DEFINITION,"to wash something or someone with a piece of a soft substance called a sponge, which sucks up water"
EXAMPLE,She sponged the child down at the sink. 
HEADWORD,sponge off
DEFINITION,to ask for money and other things from friends or relatives and make no effort to give anything back or pay for anything yourself
EXAMPLE,Since he left college he's been sponging off his parents.
HEADWORD,spray with
DEFINITION,to shoot a large number of bullets at something
EXAMPLE,Two gunmen were spraying the convoy with automatic gunfire.
HEADWORD,spread over
DEFINITION,to divide an amount of money that you must pay into smaller parts and pay each amount separately over a period of time
EXAMPLE,The payments can be spread over 18 months. 
HEADWORD,spring back
DEFINITION,to move your body backwards quickly and with a lot of energy
EXAMPLE,"From this position, you can spring back if you are attacked. "
HEADWORD,spring for
DEFINITION,to pay for someone else's share of something
EXAMPLE,I'll spring for dinner tonight.
HEADWORD,spring from
DEFINITION,"to come from a particular place, family, or situation"
EXAMPLE,Hugh's interest in languages sprang from his upbringing in Spain. 
HEADWORD,spring on
DEFINITION,to tell someone something that they do not expect
EXAMPLE,They just sprang it on me at the office meeting.
HEADWORD,spring up
DEFINITION,to appear or be produced suddenly and quickly
EXAMPLE,In southern California new Internet companies were springing up every day.
HEADWORD,sprinkle with
DEFINITION,"to shake small amounts of a liquid, powder etc over the surface of something"
EXAMPLE,Sprinkle the chicken with soy sauce. 
HEADWORD,spruce up
DEFINITION,to improve the appearance of someone or something
EXAMPLE,The Convention Center had been spruced up for the occasion. 
HEADWORD,spur on
DEFINITION,to encourage someone to do something
EXAMPLE,His comments spurred me on to success. 
HEADWORD,spy on
DEFINITION,to watch someone secretly so that you know everything they do
EXAMPLE,Managers feel it is their duty to spy on the workforce. 
HEADWORD,spy out
DEFINITION,to notice someone or something
